Longitude,Latitude,city,SIC2,SIC3
123.4327909,41.80864478,2101,34,344
123.4346752,41.77644976,2101,39,399
123.5100356,41.54696814,2101,38,382
125.089389,45.52058413,2306,44,442
113.4471743,32.88386364,4117,30,303
106.530635,29.54460611,5002,37,375
105.7725732,29.48780306,5001,36,366
109.6132424,35.65697162,6104,61,610
111.3109811,30.73275782,4205,17,178
114.3102995,31.57825525,4209,30,302
112.4105622,31.20931625,4207,26,266
113.8891676,29.74256074,4212,30,302
113.1262305,30.64904736,4290,26,266
113.262266,31.89292221,4213,35,353
115.9418834,29.99887566,4211,18,181
119.8194198,30.98335279,3305,42,422
116.5052527,31.75555836,3415,13,131
118.1407266,32.81183582,3411,30,309
116.5915121,33.22304396,3416,30,302
119.7548825,33.43126447,3209,24,243
120.590312,32.31686428,3213,21,211
120.6085274,31.29471441,3202,31,314
119.919606,32.47605327,3212,26,265
118.3245704,32.3173506,3411,17,171
119.3684889,33.01379717,3213,24,243
118.7923096,34.55638323,3207,10,101
117.1881066,34.27155343,3203,29,292
116.6781182,26.3100731,3504,30,303
117.7374974,24.51136977,3506,14,141
114.0259737,22.54605355,4403,33,339
114.0429921,22.62630622,4403,40,403
112.5720509,33.00188185,1509,30,303
122.2603633,43.63375607,1505,26,262
112.6446444,22.88371152,4406,30,303
113.3948176,23.40800373,4452,27,273
111.1254289,22.43197427,4409,17,176
113.763434,23.04302382,4419,29,292
122.0399695,41.21893694,2101,30,302
107.9312576,26.23120607,5226,30,302
108.1544908,26.34320564,5226,17,175
108.0675694,28.30284363,5206,30,305
103.9217617,27.36760284,5204,13,135
113.1345605,33.24973053,4113,30,303
112.5428419,33.01141957,4113,13,131
113.3926936,34.20030756,4110,30,301
101.5563073,34.51138974,4113,33,331
111.8025354,34.83969143,4112,30,303
114.018803,33.33070553,4117,33,331
115.5560459,34.82397127,3717,30,302
116.6650602,37.41710478,3714,18,183
118.4175856,35.53672337,3713,19,195
115.613869,34.81276934,3717,36,361
117.2793054,34.80788308,3704,17,171
116.9924087,34.89271541,3708,35,351
115.5526729,36.13912154,3715,44,443
109.1689266,22.77491932,4501,20,202
110.8360201,25.57914022,4507,20,202
110.8541297,24.81425468,4503,30,302
119.8194198,30.98335279,4506,26,262
121.835762,39.47089949,2102,14,145
121.5934778,38.94870994,2102,29,292
116.5915121,33.22304396,3416,13,139
116.9886924,33.63677239,3413,17,178
114.3815663,22.74923006,4403,40,403
114.0663786,22.51469741,4403,38,383
114.9093561,26.74402066,3608,18,182
116.6115609,28.23958444,3609,17,176
115.7651512,25.50575652,3607,18,181
115.8433235,27.3724286,3610,18,182
118.1689168,28.75933999,3611,33,334
116.0121163,26.59023246,3607,29,292
111.7206635,27.69586405,4302,18,181
113.1316953,27.82743293,4302,18,181
111.0442869,29.80174276,4307,18,181
113.1316953,27.82743293,4302,18,181
113.0377045,25.78226398,4310,34,342
110.599739,27.10319563,4305,26,266
113.3656989,26.5807859,4310,30,303
123.7780624,41.32583763,2105,36,366
122.7535916,41.62160011,2114,30,309
121.6608221,42.01925011,2109,34,346
120.3050607,41.3727959,2113,29,291
122.8692117,40.73033508,2109,31,313
118.8577497,34.15401366,3213,30,302
119.2070798,31.93263496,3211,30,302
